Issue,Indicator,Measures,Factors,TOC,Plus,Minus,References,Kid Approved,Ethics - Privacy,Ethics - Confrontational,Ethics - Indirect,Pragmatic - Platform-based,Pragmatic - Analysis,Pragmatic - Low quality
Online Grooming,Prevalence of Online Grooming Conversations,"While use of non-sexual communication by groomers is extremely ambiguous, using a set of criteria - 'asking for hot picture', 'asking for alternate contact method', 'telling sexual preference' could be used to assess the prevalence of online grooming conversations on a platform.",grooming-prevalence,Ecological,"Surprisingly predictive of online grooming (95%) without being based on complimentary language, another grooming mainstay","Requires access to conversations, technical to setup",Pranoto et al. 2015,,,X,,,X,
Online Grooming,Acts of Cyber-Victimization,"Online grooming is not just a way to coerce children into offline meetups, but is itself a form of sexual exploitation. These acts, including: sharing porn sites with victims, streaming webcam material, sexting and the display of genitalia are not just preparation, but exploitation. An evaluative framework might include fields for these activities and use their frequency as measure of child sexual exploitation.  ",grooming-prevalence,"Strain, Ecological",Understands 'digital' acts can be just as damaging as 'real world' exploitation,Highly personal information that participants may not want to disclose,"Barber and Bettez 2014, 'Deconstructing the online grooming of youth'",,,,,,X,
Online Grooming,Sexual Health and Risk-Taking,"Studies suggest that programmes that address CSEA may also contribute to more positive sexual health (later sexual debut, fewer partners, use of contraception). A programme might measure these broader sexual health behaviors as a proxy for lower vulnerability to grooming and sexual risk-taking online. ",self-esteem,"Empowerment, Strain",Holistic understanding of sexual health and sexual risk-taking,Broader indicator that may be loosely correlated to grooming specifically,"UNFPA 2018, UNESCO 2015 'Emerging Evidence, Lessons and Practice in Comprehensive Sexuality Education: A Global Review'",,X,X,X,,X,
Cyberbullying,CYBVIC scale,"Well-validated scale (compared with 16 earlier scales) that measure cyberbullying activities through 19 items that cover impersonation, social exclusion, shaming, insults, false accusations, coercion or intimidation.",cyberbullying-prevalence,,,,"Álvarez-García, D., Núñez, J. C., Barreiro-Collazo, A., & García, T. (2017). Validation of the Cybervictimization Questionnaire (CYVIC) for adolescents. Computers in Human Behavior, 70, 270-281.",,,X,,,X,
Both,Digital Narrative,"A story generated by the child about the most significant change that resulted from the programme, collected through a digital form or input mechanism","grooming-prevalence, cyberbullying-prevalence",Empowerment,"Can synthesise complex data into a digestible form, with beginning / middle / end",Can obscure themes (evident in a thematic analysis); involves small number and potentially biased case studies,River of Life 2017,,,,,,,
Cyberbullying,European Cyberbullying Intervention Project Questionnaire,"Someone said nasty things to me or called me names using texts or online messages.
Someone spread rumors about me on the Internet.
Someone threatened me through texts or online messages.
Someone threatened me when I was playing an online game.
I was excluded or ignored by others when playing an online game.
Someone said nasty things to me or called me names when I was playing an online game.",cyberbullying-prevalence,"Ecological, Empowerment",Focuses on younger children (though a prior study examines the same scale for teenagers); validates European model.,May be less relevant in Asian context; stronger results for victims than perpetrators.,"Williford, A., & DePaolis, K. J. (2019). Validation of a Cyber Bullying and Victimization Measure Among Elementary School-Aged Children. Child and Adolescent Social Work Journal, 36(5), 557-570.",,,,,,X,
Online Grooming,Pornography Consumption,"Some studies suggest a link between pornography consumption and harmful or aggressive sexual behaviors. The consumption of porn (frequency, duration, etc) across a population might therefore function as a 'proxy' indicator for child sexual exploitation and the effectiveness of a programme. ",online-norms,"Strain, Ecological",Well understood issue that is heavily prevalent amongst teens,"Proxy' indicator that must be combined with others, participants might not answer honestly","McKibbin, Humphreys, and Hamilton 2017 'Young people who sexually abused reflect on preventing harmful sexual behavior', Taylor 2018 'Pornography as a Public Health Issue'",,,X,X,,,
Both,Hotline / Helpline Calls,"number of calls to a hotline or helpline during a period, pre and post intervention",awareness-support,"Ecological, Empowerment",,,Keeping Children Safe Online,,,,,X,,
Both,Impulsive Erotic/Sexting Behavior on Platforms,"Adolescents often send erotic pictures impulsively on social networks. These can be used for coercive sexual advancement by peers and can also be circulated into pedophile networks, leading to victimization. These images can also be used for cyberbullying, generating humiliation amongst peers. Measuring and reducing this behavior could lead to less grooming and cyberbullying. ",online-norms,"Strain, Ecological","Seems a clear risk factor for both grooming and cyberbullying, so important to reduce",Requires either platform/tech surveillance (privacy invasive) or self-reporting measure and honest responses,"Schoeps et al. 2020, 'Risk factor for being a victim of online grooming in adolescents'",,,,,X,,
Online Grooming,Luring Communication: Approach,"Some forms of sexual exploitation take the form of meet-ups offline. One indicator would be asking whether children have met certain adults in this capacity, or would be willing to do so, and could be coupled to an awareness raising campaign. ",literacy,"Empowerment, Ecological",An offline meetup of this nature is a clear indicator of child sexual exploitation,"Children may not want to disclose that this has occurred, or feel that the person is not a 'stranger'","Olson et al. 2007, ""Entrapping the Innocent: Toward a Theory of Child Sexual Predators' Luring Communication""",,,X,X,,,
Both,"""3 Ways"" Test",Ability of child to list three ways to protect themselves online.,literacy,Empowerment,,,Keeping Children Safe Online,,,,,,,
