ID,Issue,Indicator,Questions,Measures,Factors,TOC,Plus,Minus,References,FullCitation,Kid Approved,Ethics - Privacy,Ethics - Confrontational,Ethics - Indirect,Pragmatic - Platform-based,Pragmatic - Analysis,Pragmatic - Low quality,Comment
EAPRO-1,Online Grooming,Prevalence of Online Grooming Conversations,[Not applicable],"While use of non-sexual communication by groomers is extremely ambiguous, using a set of criteria - 'asking for hot picture', 'asking for alternate contact method', 'telling sexual preference' could be used to assess the prevalence of online grooming conversations on a platform.",grooming-prevalence,Ecological,"Surprisingly predictive of online grooming (95%) without being based on complimentary language, another grooming mainstay","Requires access to conversations, technical to setup",Pranoto et al. 2015,"Pranoto, H., Gunawan, F. E., & Soewito, B. (2015). Logistic models for classifying online grooming conversation. Procedia Computer Science, 59, 357-365.",,,X,,,X,,
EAPRO-2,Online Grooming,Acts of Cyber-Victimization,[Not applicable],"Online grooming is not just a way to coerce children into offline meetups, but is itself a form of sexual exploitation. These acts, including: sharing porn sites with victims, streaming webcam material, sexting and the display of genitalia are not just preparation, but exploitation. An evaluative framework might include fields for these activities and use their frequency as measure of child sexual exploitation.  ",grooming-prevalence,"Strain, Ecological",Understands 'digital' acts can be just as damaging as 'real world' exploitation,Highly personal information that participants may not want to disclose,"Barber and Bettez 2014, 'Deconstructing the online grooming of youth'","Barber, C., & Bettez, S. (2014). Deconstructing the online grooming of youth: Toward improved information systems for detection of online sexual predators.",,,,,,X,,
EAPRO-3,Online Grooming,Sexual Health and Risk-Taking,[Not applicable],"Studies suggest that programmes that address CSEA may also contribute to more positive sexual health (later sexual debut, fewer partners, use of contraception). A programme might measure these broader sexual health behaviors as a proxy for lower vulnerability to grooming and sexual risk-taking online. ",self-esteem,"Empowerment, Strain",Holistic understanding of sexual health and sexual risk-taking,Broader indicator that may be loosely correlated to grooming specifically,"UNFPA 2018, UNESCO 2015 'Emerging Evidence, Lessons and Practice in Comprehensive Sexuality Education: A Global Review'","UNESCO. (2015). Emerging evidence, lessons and practice in comprehensive sexuality education: a global review.",,X,X,X,,X,,
EAPRO-4,Cyberbullying,CYBVIC scale,"1. Someone has impersonated me on the Internet, posting comments under my name, as if they were me.
2. Someone has taken pictures or video recordings of me with a sexual or
suggestive content (e.g., on the beach, in a locker room,..) without my consent and they have disseminated them over the mobile
phone or the Internet.
3. Someone has hung doctored (modified) photos of me on the Internet to harm me or laugh at me.
4. I was kicked out or not accepted on some chat list, social network contact list (e.g., Tuenti) or instant messaging program (e.g., Messenger, Whatsapp), without having done anything,
just for being me.
5. I have received calls on my mobile that are not answered, I guess to annoy me.
6. Someone has hung real compromising photos or videos of me on the Internet without my permission, to harm me or make fun of me.
7. I have received calls insulting me or making fun of me.
8. Someone has made fun of me with offensive or insulting comments on social networks.
9. Someone has disseminated, without my permission, via mobile phone or Internet,
compromising images or videos of me (of a sexual, suggestive, or insinuating nature) that I had taken.
10. I have been beaten, and others have recorded it and then disseminated it.
11. I have received insults through short text messages (sms) or instant messaging programs (e.g., WhatsApp).
12. I have been impersonated in Twitter, Tuenti, … creating a false user profile (photo, personal details,..) with
which I was insulted or ridiculed.
13. Someone has made false complaints about me in some forum, social network, or online game, which have caused me to be expelled.
14. I have been pressured to do things that I didn't want to (whether or not I finally agreed to do
them), threatening me with disseminating my intimate conversations or images.
15. They have forced me to do
something humiliating, they have recorded it, and then disseminated it to ridicule me.
16. They agree to ignore me on the social networks.
17. I have received anonymous phone calls, to threaten me or
intimidate me.
18. Someone who has gotten my password has sent annoying messages to someone I know, as if it were me, to get me into
trouble.
19. There have been false rumors about me on some social network.","Well-validated scale (compared with 16 earlier scales) that measure cyberbullying activities through 19 items that cover impersonation, social exclusion, shaming, insults, false accusations, coercion or intimidation.",cyberbullying-prevalence,,,,"Álvarez-García, D., Núñez, J. C., Barreiro-Collazo, A., & García, T. (2017). Validation of the Cybervictimization Questionnaire (CYVIC) for adolescents. Computers in Human Behavior, 70, 270-281.","Álvarez-García, D., Núñez, J. C., Barreiro-Collazo, A., & García, T. (2017). Validation of the Cybervictimization Questionnaire (CYVIC) for adolescents. Computers in Human Behavior, 70, 270-281.",,,X,,,X,,
EAPRO-5,Both,Digital Narrative,[FOLLOW UP],"A story generated by the child about the most significant change that resulted from the programme, collected through a digital form or input mechanism","grooming-prevalence, cyberbullying-prevalence",Empowerment,"Can synthesise complex data into a digestible form, with beginning / middle / end",Can obscure themes (evident in a thematic analysis); involves small number and potentially biased case studies,River of Life 2017,,,,,,,,,
EAPRO-6,Cyberbullying,European Cyberbullying Intervention Project Questionnaire,"Someone said nasty things to me or called me names using texts or online messages.
Someone spread rumors about me on the Internet.
Someone threatened me through texts or online messages.
Someone threatened me when I was playing an online game.
I was excluded or ignored by others when playing an online game.
Someone said nasty things to me or called me names when I was playing an online game.",,cyberbullying-prevalence,"Ecological, Empowerment",Focuses on younger children (though a prior study examines the same scale for teenagers); validates European model.,May be less relevant in Asian context; stronger results for victims than perpetrators.,"Williford, A., & DePaolis, K. J. (2019). Validation of a Cyber Bullying and Victimization Measure Among Elementary School-Aged Children. Child and Adolescent Social Work Journal, 36(5), 557-570.",,,,,,,X,,
EAPRO-7,Online Grooming,Pornography Consumption,[Not applicable],"Some studies suggest a link between pornography consumption and harmful or aggressive sexual behaviors. The consumption of porn (frequency, duration, etc) across a population might therefore function as a 'proxy' indicator for child sexual exploitation and the effectiveness of a programme. ",online-norms,"Strain, Ecological",Well understood issue that is heavily prevalent amongst teens,"Proxy' indicator that must be combined with others, participants might not answer honestly","McKibbin, Humphreys, and Hamilton 2017 'Young people who sexually abused reflect on preventing harmful sexual behavior', Taylor 2018 'Pornography as a Public Health Issue'","McKibbin, G., Humphreys, C., & Hamilton, B. (2017). “Talking about child sexual abuse would have helped me”: Young people who sexually abused reflect on preventing harmful sexual behavior. Child abuse & neglect, 70, 210-221.",,,X,X,,,,LM: These studies seem perpetrator-oriented?
EAPRO-8,Both,Hotline / Helpline Calls,[Not applicable],"number of calls to a hotline or helpline during a period, pre and post intervention",awareness-support,"Ecological, Empowerment",,,Keeping Children Safe Online,,,,,,X,,,
EAPRO-9,Both,Impulsive Erotic/Sexting Behavior on Platforms,[FOLLOW UP],"Adolescents often send erotic pictures impulsively on social networks. These can be used for coercive sexual advancement by peers and can also be circulated into pedophile networks, leading to victimization. These images can also be used for cyberbullying, generating humiliation amongst peers. Measuring and reducing this behavior could lead to less grooming and cyberbullying. ",online-norms,"Strain, Ecological","Seems a clear risk factor for both grooming and cyberbullying, so important to reduce",Requires either platform/tech surveillance (privacy invasive) or self-reporting measure and honest responses,"Schoeps et al. 2020, 'Risk factor for being a victim of online grooming in adolescents'","Schoeps, K., Peris Hernández, M., Garaigordobil, M., & Montoya Castilla, I. (2020). Risk factors for being a victim of online grooming in adolescents. Psicothema, 2020, vol. 31, num. 4, p. 1-9.",,,,,X,,,
EAPRO-10,Online Grooming,Luring Communication: Approach,[Not available],"Some forms of sexual exploitation take the form of meet-ups offline. One indicator would be asking whether children have met certain adults in this capacity, or would be willing to do so, and could be coupled to an awareness raising campaign. ",literacy,"Empowerment, Ecological",An offline meetup of this nature is a clear indicator of child sexual exploitation,"Children may not want to disclose that this has occurred, or feel that the person is not a 'stranger'. Study does not include concrete measures; these need to be developed in context-specific ways.","Olson et al. 2007, ""Entrapping the Innocent: Toward a Theory of Child Sexual Predators' Luring Communication""","Olson, L. N., Daggs, J. L., Ellevold, B. L., & Rogers, T. K. (2007). Entrapping the innocent: Toward a theory of child sexual predators’ luring communication. Communication Theory, 17(3), 231-251.",,,X,X,,,,
